Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2009-06-01;Trigo;27.6162;25.7528;2;51125.0;63675.0;67700.0;49575.0
2009-05-01;Trigo;28.0892;25.7935;2;63725.0;52475.0;64625.0;52450.0
2009-04-01;Trigo;28.5274;25.9271;2;52425.0;52775.0;57275.0;50075.0
2009-03-01;Trigo;28.9078;26.4593;2;53275.0;50800.0;56300.0;48825.0
2009-02-01;Trigo;28.1562;26.2436;2;51050.0;56800.0;57700.0;50450.0
2009-01-01;Trigo;25.9154;25.1793;2;56800.0;60625.0;64625.0;54825.0
2008-12-01;Trigo;25.3386;24.9014;2;61075.0;54175.0;61600.0;45500.0
2008-11-01;Trigo;25.8941;25.5165;2;54250.0;53875.0;58775.0;49600.0
2008-10-01;Trigo;26.5879;26.3521;2;53625.0;68325.0;69025.0;49650.0
2008-09-01;Trigo;27.8274;27.4751;2;68000.0;77000.0;77000.0;66250.0
2008-08-01;Trigo;31.1112;30.9817;2;77925.0;78450.0;93225.0;74600.0
2008-07-01;Trigo;37.4942;35.5802;2;78375.0;84300.0;87750.0;77500.0
2008-06-01;Trigo;40.0923;37.3855;2;84350.0;75950.0;95275.0;74575.0
2008-05-01;Trigo;40.9765;38.0383;2;76150.0;79225.0;82500.0;0.0
2008-04-01;Trigo;40.63;37.4967;2;78725.0;92900.0;98550.0;78425.0
2008-03-01;Trigo;37.1877;33.5497;2;92900.0;1.078;1.298;92900.0
2008-02-01;Trigo;34.3233;30.6824;2;1.073;93400.0;1.3345;93300.0
2008-01-01;Trigo;32.2331;29.3955;2;92950.0;89250.0;99300.0;87850.0
2007-12-01;Trigo;29.8957;28.1459;2;88500.0;86575.0;1.0095;84525.0
2007-11-01;Trigo;30.8974;29.0514;2;86700.0;81100.0;89200.0;74075.0
2007-10-01;Trigo;33.1528;31.2934;2;80800.0;95325.0;95900.0;79025.0
2007-09-01;Trigo;34.5788;31.6803;2;93900.0;78400.0;96175.0;78325.0
2007-08-01;Trigo;29.4841;28.5694;2;76700.0;63025.0;79500.0;62000.0
2007-07-01;Trigo;26.0312;26.4344;2;63000.0;58325.0;66400.0;56250.0
2007-06-01;Trigo;25.5605;25.7342;2;58200.0;51750.0;63375.0;51450.0
2007-05-01;Trigo;25.3248;25.3132;2;51700.0;48050.0;52400.0;46800.0
2007-04-01;Trigo;24.5731;24.7929;2;48550.0;43375.0;51975.0;41200.0
2007-03-01;Trigo;24.6049;24.7924;2;43800.0;47425.0;47425.0;43100.0
2007-02-01;Trigo;25.6567;25.714;2;47450.0;46750.0;49400.0;44775.0
2007-01-01;Trigo;26.3222;25.66;2;46750.0;49800.0;49925.0;44750.0
2006-12-01;Trigo;27.0968;26.4608;2;50100.0;50700.0;52150.0;46350.0
2006-11-01;Trigo;27.7368;27.1247;2;50200.0;48575.0;51900.0;46500.0
2006-10-01;Trigo;25.2274;24.7131;2;48300.0;44500.0;55700.0;43525.0
2006-09-01;Trigo;21.5096;21.1447;2;44300.0;40150.0;45300.0;37600.0
2006-08-01;Trigo;20.3418;19.9842;2;40400.0;39675.0;40550.0;35725.0
2006-07-01;Trigo;19.7616;19.5215;2;39750.0;37150.0;41400.0;36300.0
2006-06-01;Trigo;19.4544;19.2374;2;37150.0;39425.0;40700.0;35800.0
2006-05-01;Trigo;19.2374;18.8643;2;39350.0;34900.0;43300.0;34900.0
2006-04-01;Trigo;19.1458;18.7601;2;34625.0;34450.0;36950.0;33950.0
2006-03-01;Trigo;19.3392;19.0142;2;34775.0;36750.0;38000.0;33850.0
2006-02-01;Trigo;19.9834;19.4356;2;37025.0;34300.0;37800.0;33750.0
2006-01-01;Trigo;19.9826;19.3671;2;34325.0;34000.0;35000.0;32150.0
2005-12-01;Trigo;19.6643;19.0341;2;33925.0;30375.0;34700.0;29250.0
2005-11-01;Trigo;18.4225;18.1115;2;30400.0;31750.0;32050.0;29500.0
2005-10-01;Trigo;18.3795;17.934;2;31700.0;34625.0;35200.0;31550.0
2005-09-01;Trigo;19.1291;18.8616;2;34625.0;30300.0;35300.0;30175.0
2005-08-01;Trigo;20.2686;19.9715;2;30150.0;32800.0;33550.0;30075.0
2005-07-01;Trigo;20.2797;20.3684;2;32775.0;32400.0;35400.0;32000.0
2005-06-01;Trigo;20.9355;21.0932;2;32150.0;33050.0;34550.0;30950.0
2005-05-01;Trigo;23.4427;23.2918;2;33175.0;31500.0;34275.0;29650.0
2005-04-01;Trigo;23.725;23.5505;2;31800.0;33150.0;33250.0;30150.0
2005-03-01;Trigo;21.7657;21.3199;2;33100.0;33300.0;37000.0;32300.0
2005-02-01;Trigo;19.8338;19.6098;2;33725.0;29125.0;33750.0;28700.0
2005-01-01;Trigo;19.7586;29.8062;2;29100.0;30750.0;31200.0;28750.0
2004-11-01;Trigo;21.13;20.918;2;30750.0;28950.0;31175.0;28250.0
2004-10-01;Trigo;21.4716;21.7538;2;28975.0;31650.0;32050.0;28600.0
2004-09-01;Trigo;23.1538;23.5285;2;31650.0;30750.0;32600.0;29700.0
2004-08-01;Trigo;25.1131;25.2621;2;30675.0;31025.0;34150.0;30250.0
2004-07-01;Trigo;27.5388;27.7931;2;30975.0;31075.0;32400.0;29550.0
2004-06-01;Trigo;30.2614;29.9106;2;31225.0;33525.0;34800.0;31000.0
2004-05-01;Trigo;29.6849;28.6268;2;33800.0;36500.0;39100.0;0.0
2004-04-01;Trigo;27.3438;26.4508;2;36200.0;38050.0;40700.0;35400.0
2004-03-01;Trigo;25.0014;24.2907;2;38150.0;40825.0;42400.0;36600.0
